date,open,high,low,price_close,volume,close
2021-12-29,0.79,0.79,0.79,0.79,57290,0.79
2021-12-28,0.8,0.8,0.79,0.79,28263,0.79
2021-12-27,0.8,0.8,0.8,0.8,1547,0.8
2021-12-24,0.8,0.8,0.79,0.79,18740,0.79
2021-12-23,0.8,0.8,0.79,0.8,33473,0.8
2021-12-22,0.8,0.8,0.79,0.8,20924,0.8
2021-12-21,0.79,0.8,0.79,0.8,45066,0.8
2021-12-20,0.79,0.79,0.78,0.78,41300,0.78
2021-12-17,0.79,0.79,0.79,0.79,34027,0.79
2021-12-16,0.78,0.79,0.78,0.79,35781,0.79
2021-12-15,0.77,0.78,0.77,0.78,44615,0.78
2021-12-14,0.78,0.78,0.77,0.77,5591,0.77
2021-12-13,0.78,0.79,0.78,0.78,43403,0.78
2021-12-10,0.79,0.79,0.78,0.78,78636,0.78
2021-12-09,0.78,0.79,0.78,0.79,17864,0.79
2021-12-08,0.78,0.79,0.78,0.79,5381,0.79
2021-12-07,0.77,0.79,0.77,0.78,17327,0.78
2021-12-06,0.78,0.78,0.77,0.77,17685,0.77
2021-12-03,0.76,0.78,0.76,0.78,39857,0.78
2021-12-02,0.76,0.77,0.76,0.76,33842,0.76
2021-12-01,0.75,0.76,0.75,0.76,44838,0.76
2021-11-30,0.75,0.76,0.75,0.75,31765,0.75
2021-11-29,0.75,0.78,0.74,0.75,16455,0.75
2021-11-26,0.77,0.77,0.76,0.76,4360,0.76
2021-11-25,0.77,0.78,0.76,0.77,31836,0.77
2021-11-24,0.76,0.77,0.76,0.77,26835,0.77
2021-11-23,0.75,0.76,0.75,0.76,11711,0.76
2021-11-22,0.75,0.76,0.75,0.75,6637,0.75
2021-11-19,0.74,0.75,0.74,0.75,16480,0.75
2021-11-18,0.75,0.75,0.74,0.74,9677,0.74
2021-11-17,0.74,0.74,0.74,0.74,7945,0.74
2021-11-16,0.75,0.75,0.74,0.74,12868,0.74
2021-11-15,0.76,0.76,0.75,0.75,2957,0.75
2021-11-12,0.76,0.76,0.75,0.75,72285,0.75
2021-11-11,0.75,0.76,0.74,0.76,39812,0.76
2021-11-10,0.74,0.74,0.73,0.74,10027,0.74
2021-11-09,0.74,0.74,0.74,0.74,2943,0.74
2021-11-08,0.74,0.75,0.74,0.74,11306,0.74
2021-11-05,0.76,0.76,0.74,0.74,14483,0.74
2021-11-04,0.76,0.76,0.75,0.76,26425,0.76
2021-11-03,0.74,0.76,0.74,0.76,28257,0.76
2021-11-02,0.76,0.76,0.74,0.74,70170,0.74
2021-11-01,0.76,0.77,0.75,0.76,208767,0.76
2021-10-29,0.76,0.76,0.75,0.76,94326,0.76
2021-10-28,0.78,0.79,0.76,0.76,31980,0.76
2021-10-27,0.8,0.8,0.78,0.78,20190,0.78
2021-10-26,0.8,0.8,0.79,0.8,72199,0.8
2021-10-25,0.87,0.87,0.79,0.8,49350,0.8
2021-10-21,0.81,0.83,0.81,0.82,32801,0.82
2021-10-20,0.82,0.82,0.8,0.81,82984,0.81
2021-10-19,0.82,0.84,0.82,0.82,13672,0.82
2021-10-18,0.81,0.82,0.8,0.82,18309,0.82
