date,close
2021-04-19,371.27
2021-04-20,375.02
2021-04-21,375.23
2021-04-22,374.41
2021-04-25,372.65
2021-04-26,372.97
2021-04-27,370.64
2021-04-28,371.81
2021-04-29,370.52
2021-05-05,375.64
2021-05-06,379.39
2021-05-09,380.68
2021-05-10,380.75
2021-05-11,381.28
2021-05-12,379.5
2021-05-13,381.52
2021-05-16,385.71
2021-05-17,388.35
2021-05-18,388.74
2021-05-19,389.3
2021-05-20,389.33
2021-05-23,390.85
2021-05-24,389.67
2021-05-25,393.3
2021-05-26,391.27
2021-05-27,388.44
2021-05-30,391.22
2021-05-31,393.56
2021-06-01,387.57
2021-06-02,385.08
2021-06-03,381.25
2021-06-06,383.82
2021-06-07,385.54
2021-06-08,385.7
2021-06-09,384.68
2021-06-10,387.9
2021-06-14,381.33
2021-06-15,380.9
2021-06-16,374.57
